id,an,spec,type
ANSPEC000,1,Inteligență artificială și optimizare,Master
ANSPEC001,2,Inteligență artificială și optimizare,Master
ANSPEC002,1,Ingineria sistemelor soft,Master
ANSPEC003,2,Ingineria sistemelor soft,Master
ANSPEC004,1,Lingvistică computațională,Master
ANSPEC005,2,Lingvistică computațională,Master
ANSPEC006,1,Studii avansate in informatică,Master
ANSPEC007,2,Studii avansate in informatică,Master
ANSPEC008,1,Sisteme distribuite,Master
ANSPEC009,2,Sisteme distribuite,Master
ANSPEC010,1,Securitatea informației,Master
ANSPEC011,2,Securitatea informației,Master
ANSPEC012,1A,Informatică,Licenta
ANSPEC013,1B,Informatică,Licenta
ANSPEC014,1E,Informatică,Licenta
ANSPEC015,1X,Informatică,Licenta
ANSPEC016,2A,Informatică,Licenta
ANSPEC017,2B,Informatică,Licenta
ANSPEC018,2E,Informatică,Licenta
ANSPEC019,2X,Informatică,Licenta
ANSPEC020,3A,Informatică,Licenta
ANSPEC021,3B,Informatică,Licenta
ANSPEC022,3E,Informatică,Licenta
ANSPEC023,3X,Informatică,Licenta
